id_day,day,id_teacher,id_space,name,id_building,id_headquarters,building_name,id_university_subject,full_name,semesters,university_subject_code,entry_time,departure_time,group,hours,id_authorization_program,id_program,program_code,program_full_name,id_university_period,id_day_time_slot,id_time_slot
4,Thursday,T017,14,salon 7,3,1,Sede Principe,1016,"Robots, Historia  y  Ficción",3,710061C,14:00:00,17:00:00,50,3,2,1,3743,Ingeniería de Sistemas,7,29,5
3,Wednesday,T075,3,Salon 3,2,1,Sede Villa Campestre,863,Construcción de Edificaciones III,4,502024C,14:00:00,17:00:00,50,3,5,4,3554,Construccion,7,21,5
2,Tuesday,T183,12,salon 5,3,1,Sede Principe,393,Legislación comercial II,3,801074C,10:00:00,13:00:00,50,3,18,6,3841,Contaduría Publica,9,10,2
2,Tuesday,T130,16,salon 9,3,1,Sede Principe,905,Ciencias humanas,5,801078C,07:00:00,10:00:00,51,3,18,6,3841,Contaduría Publica,5,9,1
3,Wednesday,T093,5,Salon 5,2,1,Sede Villa Campestre,749,Informes financieros,4,802020C,10:00:00,13:00:00,50,3,18,6,3841,Contaduría Publica,6,18,2
5,Friday,T053,11,salon 4,3,1,Sede Principe,858,Matemáticas Básicas,1,111023C,18:20:00,21:20:00,51,3,30,12,2725,Tecnologia en Electronica Industrial,9,39,7
1,Monday,T019,8,salon 1,3,1,Sede Principe,1115,MATEMÁTICAS APLICADAS PARA TECNOLOGÍA,4,710034C,18:20:00,22:20:00,50,4,30,12,2725,Tecnologia en Electronica Industrial,8,8,8
5,Friday,T062,24,Sala De Sistemas 2,3,1,Sede Principe,1276,Habilidades Gerenciales y carrera profesional,9,801184C,18:20:00,21:20:00,50,3,23,2,3845,Administracion de empresas,10,39,7
3,Wednesday,T061,26,Laboratorio de Alimentos,2,1,Sede Villa Campestre,1215,TALLER DE INGENIERÍA DE ALIMENTOS VII,8,745026C,10:00:00,13:00:00,51,3,7,3,3753,Ingeniería de Alimentos,9,18,2
1,Monday,T099,16,salon 9,3,1,Sede Principe,125,Desarrollo de Software I,6,750091M,07:00:00,10:00:00,50,3,3,1,3743,Ingeniería de Sistemas,5,1,1
